,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impr
15,16,19,17,18,20,21,25,27,26,64,63,62,61,60,70,71,72,73,74,75,67,66,65,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,43,33,34,38,39,40,41,50,54,55,56,68,69,58,59,57,53,22,23,24,47,51,52,46,45,49,48,42,44,10,11,12,13,14,-5.805208820233089
92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,43,33,34,38,39,40,41,50,54,55,56,68,69,58,59,57,53,22,23,24,47,51,52,46,45,49,48,42,44,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,64,63,62,61,60,70,71,72,73,74,75,67,66,65,95,93,94,-2.5099274640141616
5,7,6,8,9,32,43,33,34,38,39,40,41,50,54,55,56,68,69,58,59,57,53,22,23,24,47,51,52,46,45,49,48,42,44,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,64,63,62,61,60,70,71,72,73,74,75,67,66,65,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,-2.0357078794157095
82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,43,33,34,38,39,40,41,50,54,55,56,68,69,58,59,57,53,22,23,24,47,51,52,46,45,49,48,42,44,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,64,63,62,61,60,70,71,72,73,74,75,67,66,65,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,-2.9249022120535884
59,57,53,22,23,24,47,51,52,46,45,49,48,42,44,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,64,63,62,61,60,70,71,72,73,74,75,67,66,65,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,43,33,34,38,39,40,41,50,54,55,56,68,69,58,-2.828004215704059
59,57,53,23,22,24,47,46,45,44,43,33,34,38,39,40,41,42,48,49,52,51,50,54,55,56,68,69,58,70,71,72,73,74,75,67,66,65,63,64,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,62,61,60,-1.5971118237072073
18,20,21,25,27,26,62,61,60,59,57,53,23,22,24,47,46,45,44,43,33,34,38,39,40,41,42,48,49,52,51,50,54,55,56,68,69,58,70,71,72,73,74,75,67,66,65,63,64,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,10,11,12,13,14,15,16,19,17,-0.371818591265332
26,62,61,60,59,57,53,23,22,24,47,46,45,44,43,33,34,38,39,40,41,42,48,49,52,51,50,54,55,56,68,69,58,70,71,72,73,74,75,67,66,65,63,64,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,10,11,12,13,14,15,16,19,17,18,20,21,25,27,-6.621440317854091
85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,10,11,12,13,14,15,16,19,17,18,20,21,25,27,26,62,61,60,59,57,53,23,22,24,47,46,45,44,43,33,34,38,39,40,41,42,48,49,52,51,50,54,55,56,68,69,58,70,71,72,73,74,75,67,66,65,63,64,95,93,94,92,91,76,77,87,-0.7683333602720133
25,27,26,62,61,60,59,57,53,23,22,24,47,46,45,44,43,33,34,38,39,40,41,42,48,49,52,51,50,54,55,56,68,69,58,70,71,72,73,74,75,67,66,65,63,64,95,93,94,92,91,76,77,87,85,84,83,86,88,89,90,82,81,80,79,78,37,36,35,31,30,29,0,28,1,2,3,4,5,7,6,8,9,32,10,11,12,13,14,15,16,19,17,18,20,21,-6.621440317854091
24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,14,18,15,22,94,92,13,23,0,34,2,1,3,32,58,71,93,91,95,27,21,16,19,17,20,25,17.4023083973281
73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,14,18,15,22,94,92,13,23,0,34,2,1,3,32,58,71,93,91,95,27,21,16,19,17,20,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,3.7811606828310538
81,86,90,80,4,6,7,5,8,9,11,12,14,18,15,22,94,92,13,23,0,34,2,1,3,32,58,71,93,91,95,27,21,16,19,17,20,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,10.97974583180652
42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,14,18,15,22,94,92,13,23,0,34,2,1,3,32,58,71,93,91,95,27,21,16,19,17,20,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,4.667369805688711
35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,14,18,15,22,94,92,13,23,0,34,2,1,3,32,58,71,93,91,95,27,21,16,19,17,20,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,10.936398316622768
91,93,71,58,32,3,1,2,34,0,23,22,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,92,94,27,95,25.55701284181145
8,9,11,12,13,14,15,16,17,19,18,20,21,92,94,27,95,91,93,71,58,32,3,1,2,34,0,23,22,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,3.68468227440839
57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,92,94,27,95,91,93,71,58,32,3,1,2,34,0,23,22,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,8.413364810830924
19,18,20,21,92,94,27,95,91,93,71,58,32,3,1,2,34,0,23,22,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,-0.6616677037454162
43,41,40,42,49,48,50,54,52,47,53,59,63,26,62,60,65,64,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,92,94,27,95,91,93,71,58,32,3,1,2,34,0,23,22,25,24,61,69,68,70,89,82,79,78,39,33,37,31,28,35,29,30,36,38,51,56,57,55,46,45,10,44,4.866182236289106
15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,55,57,56,51,38,36,30,29,35,28,31,37,33,39,78,79,82,89,70,68,69,71,58,32,34,0,2,1,3,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,-5.805208820233089
44,43,41,40,42,49,48,50,54,52,47,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,55,57,56,51,38,36,30,29,35,28,31,37,33,39,78,79,82,89,70,68,69,71,58,32,34,0,2,1,3,46,45,10,11.64626277871374
58,32,34,0,2,1,3,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,55,57,56,51,38,36,30,29,35,28,31,37,33,39,78,79,82,89,70,68,69,71,12.58712847757151
45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,55,57,56,51,38,36,30,29,35,28,31,37,33,39,78,79,82,89,70,68,69,71,58,32,34,0,2,1,3,46,6.814539487170144
38,36,30,29,35,28,31,37,33,39,78,79,82,89,70,68,69,71,58,32,34,0,2,1,3,46,45,10,44,43,41,40,42,49,48,50,54,52,47,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,55,57,56,51,18.33950766106775
44,43,41,40,42,49,48,50,54,52,58,71,69,68,70,89,82,79,78,51,56,57,55,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,36,35,32,45,10,5.280559158558393
35,32,45,10,44,43,41,40,42,49,48,50,54,52,58,71,69,68,70,89,82,79,78,51,56,57,55,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,36,-2.466993969245653
23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,36,35,32,45,10,44,43,41,40,42,49,48,50,54,52,58,71,69,68,70,89,82,79,78,51,56,57,55,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,0.011314962982147847
69,68,70,89,82,79,78,51,56,57,55,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,36,35,32,45,10,44,43,41,40,42,49,48,50,54,52,58,71,10.181349210408271
36,35,32,45,10,44,43,41,40,42,49,48,50,54,52,58,71,69,68,70,89,82,79,78,51,56,57,55,53,59,61,60,66,67,75,74,72,76,73,83,85,88,77,87,84,81,86,90,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,0.5931698390896099
28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,77,85,76,74,75,67,66,60,61,59,53,55,57,56,68,69,58,70,71,72,73,83,84,86,81,82,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,-3.5870752961404264
95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,77,85,76,74,75,67,66,60,61,59,53,55,57,56,68,69,58,70,71,72,73,83,84,86,81,82,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,-4.524518568074701
89,88,87,77,85,76,74,75,67,66,60,61,59,53,55,57,56,68,69,58,70,71,72,73,83,84,86,81,82,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,-4.1348925435136294
39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,77,85,76,74,75,67,66,60,61,59,53,55,57,56,68,69,58,70,71,72,73,83,84,86,81,82,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,13.587317042114897
49,50,54,52,78,79,90,89,88,87,77,85,76,74,75,67,66,60,61,59,53,55,57,56,68,69,58,70,71,72,73,83,84,86,81,82,80,4,6,7,5,8,9,11,12,13,14,15,16,17,19,18,20,21,25,27,26,64,93,92,91,94,95,65,63,62,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,5.592442398894619
64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,86,84,85,77,76,74,75,70,71,72,73,83,81,82,80,69,68,56,55,57,53,59,60,58,61,62,63,65,67,66,93,92,91,94,95,-7.296351435044482
60,58,61,62,63,65,67,66,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,86,84,85,77,76,74,75,70,71,72,73,83,81,82,80,69,68,56,55,57,53,59,5.794944525938991
13,12,11,9,8,6,7,5,4,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,86,84,85,77,76,74,75,70,71,72,73,83,81,82,80,69,68,56,55,57,53,59,60,58,61,62,63,65,67,66,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,-2.4029021605666854
12,11,9,8,6,7,5,4,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,87,86,84,85,77,76,74,75,70,71,72,73,83,81,82,80,69,68,56,55,57,53,59,60,58,61,62,63,65,67,66,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,-5.15139060332217
87,86,84,85,77,76,74,75,70,71,72,73,83,81,82,80,69,68,56,55,57,53,59,60,58,61,62,63,65,67,66,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,24,23,22,47,46,39,38,37,34,33,3,2,1,28,0,29,30,31,35,36,32,10,45,44,43,40,41,42,48,51,49,50,54,52,78,79,90,89,88,-0.1615536779997413
70,72,73,83,81,82,80,69,68,56,55,57,53,58,59,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,1,2,33,34,37,36,35,31,30,29,0,28,32,43,44,10,46,47,24,23,22,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,-5.291171843313408
53,58,59,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,1,2,33,34,37,36,35,31,30,29,0,28,32,43,44,10,46,47,24,23,22,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,-4.049988147578942
38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,58,59,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,1,2,33,34,37,36,35,31,30,29,0,28,32,43,44,10,46,47,24,23,22,45,49,52,54,50,51,48,42,41,40,39,-1.9925320410211782
84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,58,59,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,1,2,33,34,37,36,35,31,30,29,0,28,32,43,44,10,46,47,24,23,22,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,-2.915575591410353
95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,1,2,33,34,37,36,35,31,30,29,0,28,32,43,44,10,46,47,24,23,22,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,58,59,60,61,62,63,65,66,67,93,92,91,94,-5.110976709482955
25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,0,29,30,31,35,36,37,34,33,28,32,43,44,10,22,23,24,47,46,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,59,58,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,-0.14125661420220048
70,72,73,83,81,82,80,69,68,56,55,57,53,59,58,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,0,29,30,31,35,36,37,34,33,28,32,43,44,10,22,23,24,47,46,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,-5.291171843313408
32,43,44,10,22,23,24,47,46,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,59,58,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,0,29,30,31,35,36,37,34,33,28,-1.4230141611247529
7,5,4,3,2,1,0,29,30,31,35,36,37,34,33,28,32,43,44,10,22,23,24,47,46,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,59,58,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,-2.0357078794157095
76,75,74,71,70,72,73,83,81,82,80,69,68,56,55,57,53,59,58,60,61,62,63,65,66,67,93,92,91,94,95,64,26,27,25,21,20,18,17,19,16,15,14,13,12,11,9,8,6,7,5,4,3,2,1,0,29,30,31,35,36,37,34,33,28,32,43,44,10,22,23,24,47,46,45,49,52,54,50,51,48,42,41,40,39,38,78,79,90,89,88,87,86,85,84,77,-3.5450614011065102
4,8,7,6,5,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,30,79,1,92,54,26,21,25,18,17,19,16,14,13,9,2,39,10,47,44,48,41,38,40,51,42,50,43,32,33,37,36,31,35,0,29,34,28,3,0.7121782861996238
19,16,14,13,9,2,39,10,47,44,48,41,38,40,51,42,50,43,32,33,37,36,31,35,0,29,34,28,3,4,8,7,6,5,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,30,79,1,92,54,26,21,25,18,17,-1.251112303583671
13,9,2,39,10,47,44,48,41,38,40,51,42,50,43,32,33,37,36,31,35,0,29,34,28,3,4,8,7,6,5,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,30,79,1,92,54,26,21,25,18,17,19,16,14,-0.694964052822348
66,95,94,93,80,30,79,1,92,54,26,21,25,18,17,19,16,14,13,9,2,39,10,47,44,48,41,38,40,51,42,50,43,32,33,37,36,31,35,0,29,34,28,3,4,8,7,6,5,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,36.53422019869618
46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,30,79,1,92,54,26,21,25,18,17,19,16,14,13,9,2,39,10,47,44,48,41,38,40,51,42,50,43,32,33,37,36,31,35,0,29,34,28,3,4,8,7,6,5,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,8.79434237168745
4,7,6,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,79,92,54,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,10,47,44,48,41,38,40,51,42,50,43,32,33,3,0.1298819873852466
9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,10,47,44,48,41,38,40,51,42,50,43,32,33,3,4,7,6,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,79,92,54,26,21,25,18,17,19,16,14,13,0.4710606482180566
30,31,35,36,37,34,39,10,47,44,48,41,38,40,51,42,50,43,32,33,3,4,7,6,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,79,92,54,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,-1.150022397931183
80,79,92,54,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,10,47,44,48,41,38,40,51,42,50,43,32,33,3,4,7,6,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,48.784958475969646
17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,10,47,44,48,41,38,40,51,42,50,43,32,33,3,4,7,6,11,12,15,20,22,27,64,67,75,71,74,73,72,85,77,76,84,87,88,89,82,81,90,86,91,83,58,55,57,52,49,45,46,53,24,62,61,60,59,70,56,69,78,68,63,65,23,66,95,94,93,80,79,92,54,26,21,25,18,-0.371818591265332
34,39,38,40,50,54,78,79,82,80,81,69,68,63,65,93,92,94,95,66,23,56,70,59,60,61,62,24,53,46,45,49,52,57,55,58,83,91,86,90,89,88,87,84,76,77,85,72,73,74,71,75,67,64,27,22,20,15,12,11,6,7,4,3,33,32,43,41,48,47,10,44,42,51,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,-3.423654226920357
84,76,77,85,72,73,74,71,75,67,64,27,22,20,15,12,11,6,7,4,3,33,32,43,41,48,47,10,44,42,51,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,63,65,93,92,94,95,66,23,56,70,59,60,61,62,24,53,46,45,49,52,57,55,58,83,91,86,90,89,88,87,4.577427478298304
33,32,43,41,48,47,10,44,42,51,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,63,65,93,92,94,95,66,23,56,70,59,60,61,62,24,53,46,45,49,52,57,55,58,83,91,86,90,89,88,87,84,76,77,85,72,73,74,71,75,67,64,27,22,20,15,12,11,6,7,4,3,15.286464473072904
52,57,55,58,83,91,86,90,89,88,87,84,76,77,85,72,73,74,71,75,67,64,27,22,20,15,12,11,6,7,4,3,33,32,43,41,48,47,10,44,42,51,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,63,65,93,92,94,95,66,23,56,70,59,60,61,62,24,53,46,45,49,4.672335938012356
24,53,46,45,49,52,57,55,58,83,91,86,90,89,88,87,84,76,77,85,72,73,74,71,75,67,64,27,22,20,15,12,11,6,7,4,3,33,32,43,41,48,47,10,44,42,51,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,63,65,93,92,94,95,66,23,56,70,59,60,61,62,21.921882998136724
1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,55,56,51,49,45,46,47,10,44,48,42,41,43,33,32,3,4,7,6,11,12,15,20,22,23,52,53,24,62,75,76,77,85,73,74,71,72,84,87,88,89,90,86,91,83,58,57,59,61,60,70,63,65,93,92,94,95,66,67,64,27,26,21,25,18,17,19,16,14,13,9,8,5,4.75463224637663
84,87,88,89,90,86,91,83,58,57,59,61,60,70,63,65,93,92,94,95,66,67,64,27,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,55,56,51,49,45,46,47,10,44,48,42,41,43,33,32,3,4,7,6,11,12,15,20,22,23,52,53,24,62,75,76,77,85,73,74,71,72,8.16947215232889
63,65,93,92,94,95,66,67,64,27,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,54,78,79,82,80,81,69,68,55,56,51,49,45,46,47,10,44,48,42,41,43,33,32,3,4,7,6,11,12,15,20,22,23,52,53,24,62,75,76,77,85,73,74,71,72,84,87,88,89,90,86,91,83,58,57,59,61,60,70,4.901224468478013
54,78,79,82,80,81,69,68,55,56,51,49,45,46,47,10,44,48,42,41,43,33,32,3,4,7,6,11,12,15,20,22,23,52,53,24,62,75,76,77,85,73,74,71,72,84,87,88,89,90,86,91,83,58,57,59,61,60,70,63,65,93,92,94,95,66,67,64,27,26,21,25,18,17,19,16,14,13,9,8,5,1,2,28,0,29,30,31,35,36,37,34,39,38,40,50,-0.10306733369630905
