,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,score,opt_d,step
2,12,13,53,54,35,78,44,18,56,79,90,0,59,57,55,69,80,86,85,73,84,88,83,87,77,72,75,74,91,93,94,76,71,58,60,62,61,70,63,26,27,25,23,24,20,16,19,17,22,47,52,50,51,48,39,41,42,43,32,38,36,37,34,29,31,28,33,30,1,6,3,4,8,11,9,14,7,10,45,40,49,46,68,82,81,89,66,92,67,65,95,21,64,15,5,-1361.980113451231,1309.8967801178978,10
52,50,51,48,39,41,42,43,32,38,36,37,34,29,31,28,33,30,1,6,3,4,8,11,9,14,7,10,45,40,49,46,68,82,81,89,66,92,67,65,95,21,64,15,5,2,12,13,53,54,35,78,44,18,56,79,90,0,59,57,55,69,80,86,85,73,84,88,83,87,77,72,75,74,91,93,94,76,71,58,60,62,61,70,63,26,27,25,23,24,20,16,19,17,22,47,-1304.4454874180342,1252.362154084701,10
44,32,39,41,40,38,48,42,50,54,51,45,55,69,68,56,60,61,59,58,70,75,71,72,73,84,85,87,89,86,83,88,90,77,74,67,63,26,62,65,95,66,64,93,25,23,20,19,16,15,12,8,7,5,2,28,0,29,35,30,37,36,1,31,4,11,9,10,13,3,34,43,33,80,57,18,6,14,78,82,91,94,81,17,79,76,92,27,21,22,24,46,49,52,53,47,-1267.2795223577805,1215.1961890244472,10
40,38,48,42,50,54,51,45,55,69,68,56,60,61,59,58,70,75,71,72,73,84,85,87,89,86,83,88,90,77,74,67,63,26,62,65,95,66,64,93,25,23,20,19,16,15,12,8,7,5,2,28,0,29,35,30,37,36,1,31,4,11,9,10,13,3,34,43,33,80,57,18,6,14,78,82,91,94,81,17,79,76,92,27,21,22,24,46,49,52,53,47,44,32,39,41,-1283.2461202025834,1231.16278686925,10
65,95,66,64,93,25,23,20,19,16,15,12,8,7,5,2,28,0,29,35,30,37,36,1,31,4,11,9,10,13,3,34,43,33,80,57,18,6,14,78,82,91,94,81,17,79,76,92,27,21,22,24,46,49,52,53,47,44,32,39,41,40,38,48,42,50,54,51,45,55,69,68,56,60,61,59,58,70,75,71,72,73,84,85,87,89,86,83,88,90,77,74,67,63,26,62,-1290.6313765411628,1238.5480432078296,10
49,52,53,47,44,32,39,41,40,38,48,42,50,54,51,45,55,69,68,56,60,61,59,58,70,75,71,72,73,84,85,87,89,86,83,88,90,77,74,67,63,26,62,65,95,66,64,93,25,23,20,19,16,15,12,8,7,5,2,28,0,29,35,30,37,36,1,31,4,11,9,10,13,3,34,43,33,80,57,18,6,14,78,82,91,94,81,17,79,76,92,27,21,22,24,46,-1265.2754680057567,1213.1921346724234,10
52,53,47,44,32,39,41,40,38,48,42,50,54,51,45,55,69,68,56,60,61,59,58,70,75,71,72,73,84,85,87,89,86,83,88,90,77,74,67,63,26,62,65,95,66,64,93,25,23,20,19,16,15,12,8,7,5,2,28,0,29,35,30,37,36,1,31,4,11,9,10,13,3,34,43,33,80,57,18,6,14,78,82,91,94,81,17,79,76,92,27,21,22,24,46,49,-1263.9226027568477,1211.8392694235145,10
27,66,15,95,17,79,57,93,3,5,4,7,9,6,1,2,0,30,29,34,31,37,38,39,42,48,41,40,50,51,52,49,44,10,13,12,16,18,20,22,25,26,21,24,46,47,23,62,59,61,63,64,67,65,60,70,71,75,73,74,83,77,87,86,85,84,89,90,88,82,80,69,58,53,56,54,45,55,43,32,8,11,19,14,33,36,68,78,35,28,81,91,92,94,72,76,-1380.4532626021835,1328.3699292688502,10
74,83,77,87,86,85,84,89,90,88,82,80,69,58,53,56,54,45,55,43,32,8,11,19,14,33,36,68,78,35,28,81,91,92,94,72,76,27,66,15,95,17,79,57,93,3,5,4,7,9,6,1,2,0,30,29,34,31,37,38,39,42,48,41,40,50,51,52,49,44,10,13,12,16,18,20,22,25,26,21,24,46,47,23,62,59,61,63,64,67,65,60,70,71,75,73,-1403.6500375904723,1351.566704257139,10
89,90,88,82,80,69,58,53,56,54,45,55,43,32,8,11,19,14,33,36,68,78,35,28,81,91,92,94,72,76,27,66,15,95,17,79,57,93,3,5,4,7,9,6,1,2,0,30,29,34,31,37,38,39,42,48,41,40,50,51,52,49,44,10,13,12,16,18,20,22,25,26,21,24,46,47,23,62,59,61,63,64,67,65,60,70,71,75,73,74,83,77,87,86,85,84,-1339.2459043636964,1287.162571030363,10
50,51,52,49,44,10,13,12,16,18,20,22,25,26,21,24,46,47,23,62,59,61,63,64,67,65,60,70,71,75,73,74,83,77,87,86,85,84,89,90,88,82,80,69,58,53,56,54,45,55,43,32,8,11,19,14,33,36,68,78,35,28,81,91,92,94,72,76,27,66,15,95,17,79,57,93,3,5,4,7,9,6,1,2,0,30,29,34,31,37,38,39,42,48,41,40,-1331.8929072889528,1279.8095739556195,10
41,40,50,51,52,49,44,10,13,12,16,18,20,22,25,26,21,24,46,47,23,62,59,61,63,64,67,65,60,70,71,75,73,74,83,77,87,86,85,84,89,90,88,82,80,69,58,53,56,54,45,55,43,32,8,11,19,14,33,36,68,78,35,28,81,91,92,94,72,76,27,66,15,95,17,79,57,93,3,5,4,7,9,6,1,2,0,30,29,34,31,37,38,39,42,48,-1342.7871750093248,1290.7038416759915,10
55,69,81,90,88,83,86,89,74,85,80,87,67,64,95,94,92,65,70,66,61,23,22,26,24,20,19,17,18,25,21,16,15,14,13,8,5,3,4,1,28,30,0,36,37,31,33,34,43,44,48,49,45,42,40,50,56,54,57,59,52,41,32,10,9,12,6,7,2,39,46,38,29,51,35,47,11,68,82,78,93,91,53,79,27,62,63,60,71,75,76,84,77,73,72,58,-1256.1663168329853,1204.082983499652,10
12,6,7,2,39,46,38,29,51,35,47,11,68,82,78,93,91,53,79,27,62,63,60,71,75,76,84,77,73,72,58,55,69,81,90,88,83,86,89,74,85,80,87,67,64,95,94,92,65,70,66,61,23,22,26,24,20,19,17,18,25,21,16,15,14,13,8,5,3,4,1,28,30,0,36,37,31,33,34,43,44,48,49,45,42,40,50,56,54,57,59,52,41,32,10,9,-1338.9921626712094,1286.908829337876,10
59,52,41,32,10,9,12,6,7,2,39,46,38,29,51,35,47,11,68,82,78,93,91,53,79,27,62,63,60,71,75,76,84,77,73,72,58,55,69,81,90,88,83,86,89,74,85,80,87,67,64,95,94,92,65,70,66,61,23,22,26,24,20,19,17,18,25,21,16,15,14,13,8,5,3,4,1,28,30,0,36,37,31,33,34,43,44,48,49,45,42,40,50,56,54,57,-1262.87767790144,1210.7943445681067,10
26,24,20,19,17,18,25,21,16,15,14,13,8,5,3,4,1,28,30,0,36,37,31,33,34,43,44,48,49,45,42,40,50,56,54,57,59,52,41,32,10,9,12,6,7,2,39,46,38,29,51,35,47,11,68,82,78,93,91,53,79,27,62,63,60,71,75,76,84,77,73,72,58,55,69,81,90,88,83,86,89,74,85,80,87,67,64,95,94,92,65,70,66,61,23,22,-1286.4052573438205,1234.3219240104872,10
91,53,79,27,62,63,60,71,75,76,84,77,73,72,58,55,69,81,90,88,83,86,89,74,85,80,87,67,64,95,94,92,65,70,66,61,23,22,26,24,20,19,17,18,25,21,16,15,14,13,8,5,3,4,1,28,30,0,36,37,31,33,34,43,44,48,49,45,42,40,50,56,54,57,59,52,41,32,10,9,12,6,7,2,39,46,38,29,51,35,47,11,68,82,78,93,-1259.4781295911025,1207.3947962577693,10
7,4,3,6,8,1,30,35,37,38,41,40,49,42,44,43,39,33,32,28,34,36,29,48,45,46,53,47,54,56,57,50,69,55,51,78,52,10,14,19,64,27,12,0,2,82,68,24,31,89,91,92,79,90,80,86,88,84,77,83,74,76,72,75,73,81,85,87,71,61,59,58,60,66,62,65,93,94,95,67,70,63,26,23,25,22,21,17,20,18,15,16,13,11,9,5,-1391.6194605889577,1339.5361272556245,10
41,40,49,42,44,43,39,33,32,28,34,36,29,48,45,46,53,47,54,56,57,50,69,55,51,78,52,10,14,19,64,27,12,0,2,82,68,24,31,89,91,92,79,90,80,86,88,84,77,83,74,76,72,75,73,81,85,87,71,61,59,58,60,66,62,65,93,94,95,67,70,63,26,23,25,22,21,17,20,18,15,16,13,11,9,5,7,4,3,6,8,1,30,35,37,38,-1316.3989243255285,1264.3155909921952,10
86,88,84,77,83,74,76,72,75,73,81,85,87,71,61,59,58,60,66,62,65,93,94,95,67,70,63,26,23,25,22,21,17,20,18,15,16,13,11,9,5,7,4,3,6,8,1,30,35,37,38,41,40,49,42,44,43,39,33,32,28,34,36,29,48,45,46,53,47,54,56,57,50,69,55,51,78,52,10,14,19,64,27,12,0,2,82,68,24,31,89,91,92,79,90,80,-1332.1322284684145,1280.0488951350812,10
34,36,29,48,45,46,53,47,54,56,57,50,69,55,51,78,52,10,14,19,64,27,12,0,2,82,68,24,31,89,91,92,79,90,80,86,88,84,77,83,74,76,72,75,73,81,85,87,71,61,59,58,60,66,62,65,93,94,95,67,70,63,26,23,25,22,21,17,20,18,15,16,13,11,9,5,7,4,3,6,8,1,30,35,37,38,41,40,49,42,44,43,39,33,32,28,-1337.9605100190313,1285.877176685698,10
73,81,85,87,71,61,59,58,60,66,62,65,93,94,95,67,70,63,26,23,25,22,21,17,20,18,15,16,13,11,9,5,7,4,3,6,8,1,30,35,37,38,41,40,49,42,44,43,39,33,32,28,34,36,29,48,45,46,53,47,54,56,57,50,69,55,51,78,52,10,14,19,64,27,12,0,2,82,68,24,31,89,91,92,79,90,80,86,88,84,77,83,74,76,72,75,-1325.3076169123433,1273.22428357901,10
67,65,66,60,62,58,55,56,68,57,59,24,53,46,52,54,48,41,38,37,36,30,31,35,33,43,44,32,10,11,9,7,3,8,4,1,29,2,5,12,15,13,16,19,22,26,23,27,64,93,92,72,71,70,80,89,82,69,78,42,51,40,49,50,61,21,25,63,91,20,18,14,39,45,47,28,79,6,95,0,90,34,17,94,76,77,85,73,84,83,81,86,88,87,74,75,-1385.1997295352223,1333.116396201889,10
89,82,69,78,42,51,40,49,50,61,21,25,63,91,20,18,14,39,45,47,28,79,6,95,0,90,34,17,94,76,77,85,73,84,83,81,86,88,87,74,75,67,65,66,60,62,58,55,56,68,57,59,24,53,46,52,54,48,41,38,37,36,30,31,35,33,43,44,32,10,11,9,7,3,8,4,1,29,2,5,12,15,13,16,19,22,26,23,27,64,93,92,72,71,70,80,-1417.0983366804403,1365.015003347107,10
11,9,7,3,8,4,1,29,2,5,12,15,13,16,19,22,26,23,27,64,93,92,72,71,70,80,89,82,69,78,42,51,40,49,50,61,21,25,63,91,20,18,14,39,45,47,28,79,6,95,0,90,34,17,94,76,77,85,73,84,83,81,86,88,87,74,75,67,65,66,60,62,58,55,56,68,57,59,24,53,46,52,54,48,41,38,37,36,30,31,35,33,43,44,32,10,-1425.7224730027383,1373.639139669405,10
16,19,22,26,23,27,64,93,92,72,71,70,80,89,82,69,78,42,51,40,49,50,61,21,25,63,91,20,18,14,39,45,47,28,79,6,95,0,90,34,17,94,76,77,85,73,84,83,81,86,88,87,74,75,67,65,66,60,62,58,55,56,68,57,59,24,53,46,52,54,48,41,38,37,36,30,31,35,33,43,44,32,10,11,9,7,3,8,4,1,29,2,5,12,15,13,-1418.4986424708418,1366.4153091375085,10
32,10,11,9,7,3,8,4,1,29,2,5,12,15,13,16,19,22,26,23,27,64,93,92,72,71,70,80,89,82,69,78,42,51,40,49,50,61,21,25,63,91,20,18,14,39,45,47,28,79,6,95,0,90,34,17,94,76,77,85,73,84,83,81,86,88,87,74,75,67,65,66,60,62,58,55,56,68,57,59,24,53,46,52,54,48,41,38,37,36,30,31,35,33,43,44,-1366.8618646576608,1314.7785313243276,10
26,23,18,25,66,67,94,27,57,47,52,41,31,1,35,10,14,4,3,12,8,46,70,69,81,56,29,54,79,17,64,82,24,78,80,90,89,88,86,87,85,77,76,72,73,83,84,71,75,74,91,92,95,93,65,62,61,63,60,59,53,55,58,68,50,48,49,51,42,43,39,34,33,37,38,44,45,40,32,36,28,30,0,2,7,6,5,9,11,13,15,19,16,21,20,22,-1243.7526506457796,1191.6693173124463,10
92,95,93,65,62,61,63,60,59,53,55,58,68,50,48,49,51,42,43,39,34,33,37,38,44,45,40,32,36,28,30,0,2,7,6,5,9,11,13,15,19,16,21,20,22,26,23,18,25,66,67,94,27,57,47,52,41,31,1,35,10,14,4,3,12,8,46,70,69,81,56,29,54,79,17,64,82,24,78,80,90,89,88,86,87,85,77,76,72,73,83,84,71,75,74,91,-1346.0643665714788,1293.9810332381455,10
70,69,81,56,29,54,79,17,64,82,24,78,80,90,89,88,86,87,85,77,76,72,73,83,84,71,75,74,91,92,95,93,65,62,61,63,60,59,53,55,58,68,50,48,49,51,42,43,39,34,33,37,38,44,45,40,32,36,28,30,0,2,7,6,5,9,11,13,15,19,16,21,20,22,26,23,18,25,66,67,94,27,57,47,52,41,31,1,35,10,14,4,3,12,8,46,-1281.9969041869917,1229.9135708536585,10
49,51,42,43,39,34,33,37,38,44,45,40,32,36,28,30,0,2,7,6,5,9,11,13,15,19,16,21,20,22,26,23,18,25,66,67,94,27,57,47,52,41,31,1,35,10,14,4,3,12,8,46,70,69,81,56,29,54,79,17,64,82,24,78,80,90,89,88,86,87,85,77,76,72,73,83,84,71,75,74,91,92,95,93,65,62,61,63,60,59,53,55,58,68,50,48,-1290.4006226044635,1238.3172892711302,10
47,52,41,31,1,35,10,14,4,3,12,8,46,70,69,81,56,29,54,79,17,64,82,24,78,80,90,89,88,86,87,85,77,76,72,73,83,84,71,75,74,91,92,95,93,65,62,61,63,60,59,53,55,58,68,50,48,49,51,42,43,39,34,33,37,38,44,45,40,32,36,28,30,0,2,7,6,5,9,11,13,15,19,16,21,20,22,26,23,18,25,66,67,94,27,57,-1269.9876399881489,1217.9043066548156,10
19,24,23,27,63,65,62,67,61,59,60,58,57,52,53,55,50,51,49,41,38,39,48,40,37,35,31,36,30,34,28,33,32,43,42,46,47,45,68,69,70,73,74,75,77,84,85,88,87,83,81,82,72,86,76,93,94,92,91,89,71,54,10,14,13,8,11,5,4,7,6,1,0,9,2,3,15,56,78,44,18,95,90,66,80,64,79,29,26,12,16,20,17,22,25,21,-1351.4985040297581,1299.4151706964249,10
58,57,52,53,55,50,51,49,41,38,39,48,40,37,35,31,36,30,34,28,33,32,43,42,46,47,45,68,69,70,73,74,75,77,84,85,88,87,83,81,82,72,86,76,93,94,92,91,89,71,54,10,14,13,8,11,5,4,7,6,1,0,9,2,3,15,56,78,44,18,95,90,66,80,64,79,29,26,12,16,20,17,22,25,21,19,24,23,27,63,65,62,67,61,59,60,-1325.5150652555023,1273.431731922169,10
55,50,51,49,41,38,39,48,40,37,35,31,36,30,34,28,33,32,43,42,46,47,45,68,69,70,73,74,75,77,84,85,88,87,83,81,82,72,86,76,93,94,92,91,89,71,54,10,14,13,8,11,5,4,7,6,1,0,9,2,3,15,56,78,44,18,95,90,66,80,64,79,29,26,12,16,20,17,22,25,21,19,24,23,27,63,65,62,67,61,59,60,58,57,52,53,-1305.9671888446844,1253.8838555113512,10
24,23,27,63,65,62,67,61,59,60,58,57,52,53,55,50,51,49,41,38,39,48,40,37,35,31,36,30,34,28,33,32,43,42,46,47,45,68,69,70,73,74,75,77,84,85,88,87,83,81,82,72,86,76,93,94,92,91,89,71,54,10,14,13,8,11,5,4,7,6,1,0,9,2,3,15,56,78,44,18,95,90,66,80,64,79,29,26,12,16,20,17,22,25,21,19,-1313.2846921000043,1261.201358766671,10
50,51,49,41,38,39,48,40,37,35,31,36,30,34,28,33,32,43,42,46,47,45,68,69,70,73,74,75,77,84,85,88,87,83,81,82,72,86,76,93,94,92,91,89,71,54,10,14,13,8,11,5,4,7,6,1,0,9,2,3,15,56,78,44,18,95,90,66,80,64,79,29,26,12,16,20,17,22,25,21,19,24,23,27,63,65,62,67,61,59,60,58,57,52,53,55,-1303.529656663629,1251.4463233302959,10
10,32,33,43,40,36,34,38,30,28,31,29,39,56,60,66,62,67,72,75,91,92,87,76,93,94,88,84,89,90,81,82,78,37,2,35,70,95,68,86,17,0,79,20,1,59,50,54,49,42,48,51,41,44,45,46,52,47,57,53,55,69,80,83,77,85,73,74,71,58,61,65,63,64,27,21,26,23,25,24,22,18,16,14,9,6,5,4,7,3,11,13,8,12,19,15,-1360.156391147896,1308.0730578145628,10
16,14,9,6,5,4,7,3,11,13,8,12,19,15,10,32,33,43,40,36,34,38,30,28,31,29,39,56,60,66,62,67,72,75,91,92,87,76,93,94,88,84,89,90,81,82,78,37,2,35,70,95,68,86,17,0,79,20,1,59,50,54,49,42,48,51,41,44,45,46,52,47,57,53,55,69,80,83,77,85,73,74,71,58,61,65,63,64,27,21,26,23,25,24,22,18,-1398.8990889697814,1346.815755636448,10
61,65,63,64,27,21,26,23,25,24,22,18,16,14,9,6,5,4,7,3,11,13,8,12,19,15,10,32,33,43,40,36,34,38,30,28,31,29,39,56,60,66,62,67,72,75,91,92,87,76,93,94,88,84,89,90,81,82,78,37,2,35,70,95,68,86,17,0,79,20,1,59,50,54,49,42,48,51,41,44,45,46,52,47,57,53,55,69,80,83,77,85,73,74,71,58,-1344.0849856905465,1292.0016523572133,10
3,11,13,8,12,19,15,10,32,33,43,40,36,34,38,30,28,31,29,39,56,60,66,62,67,72,75,91,92,87,76,93,94,88,84,89,90,81,82,78,37,2,35,70,95,68,86,17,0,79,20,1,59,50,54,49,42,48,51,41,44,45,46,52,47,57,53,55,69,80,83,77,85,73,74,71,58,61,65,63,64,27,21,26,23,25,24,22,18,16,14,9,6,5,4,7,-1376.1803184056862,1324.096985072353,10
90,81,82,78,37,2,35,70,95,68,86,17,0,79,20,1,59,50,54,49,42,48,51,41,44,45,46,52,47,57,53,55,69,80,83,77,85,73,74,71,58,61,65,63,64,27,21,26,23,25,24,22,18,16,14,9,6,5,4,7,3,11,13,8,12,19,15,10,32,33,43,40,36,34,38,30,28,31,29,39,56,60,66,62,67,72,75,91,92,87,76,93,94,88,84,89,-1370.0458860392675,1317.9625527059343,10
2,1,44,39,72,93,19,79,88,84,77,87,89,83,81,80,85,74,76,71,73,86,70,58,60,61,65,64,66,62,23,21,27,20,22,24,46,53,57,59,55,69,56,52,50,54,49,45,48,41,38,42,51,47,40,43,34,35,37,36,31,33,30,0,32,28,4,5,3,6,9,8,14,12,13,16,25,18,17,10,11,7,29,78,90,68,82,75,67,63,95,94,91,92,26,15,-1249.1344583793934,1197.0511250460602,10
62,23,21,27,20,22,24,46,53,57,59,55,69,56,52,50,54,49,45,48,41,38,42,51,47,40,43,34,35,37,36,31,33,30,0,32,28,4,5,3,6,9,8,14,12,13,16,25,18,17,10,11,7,29,78,90,68,82,75,67,63,95,94,91,92,26,15,2,1,44,39,72,93,19,79,88,84,77,87,89,83,81,80,85,74,76,71,73,86,70,58,60,61,65,64,66,-1290.9965578035733,1238.91322447024,10
88,84,77,87,89,83,81,80,85,74,76,71,73,86,70,58,60,61,65,64,66,62,23,21,27,20,22,24,46,53,57,59,55,69,56,52,50,54,49,45,48,41,38,42,51,47,40,43,34,35,37,36,31,33,30,0,32,28,4,5,3,6,9,8,14,12,13,16,25,18,17,10,11,7,29,78,90,68,82,75,67,63,95,94,91,92,26,15,2,1,44,39,72,93,19,79,-1303.5627266881029,1251.4793933547696,10
71,73,86,70,58,60,61,65,64,66,62,23,21,27,20,22,24,46,53,57,59,55,69,56,52,50,54,49,45,48,41,38,42,51,47,40,43,34,35,37,36,31,33,30,0,32,28,4,5,3,6,9,8,14,12,13,16,25,18,17,10,11,7,29,78,90,68,82,75,67,63,95,94,91,92,26,15,2,1,44,39,72,93,19,79,88,84,77,87,89,83,81,80,85,74,76,-1180.4186868519737,1128.3353535186404,10
